"anio","depto","sale_kg","ingresa_kg","total_importado"
2013,"ANTIOQUIA",189.88874008,389.87073888,-199.9819988
2014,"ANTIOQUIA",219.87269248,419.15411974,-199.28142726
2015,"ANTIOQUIA",217.98448732,395.42604612,-177.4415588
2016,"ANTIOQUIA",216.22259046,413.09839542,-196.87580496
2017,"ANTIOQUIA",221.43670752,440.52719542,-219.0904879
2018,"ANTIOQUIA",258.19198656,426.68362322,-168.49163666
2019,"ANTIOQUIA",280.85630352,454.51024442,-173.6539409
2021,"ANTIOQUIA",291.1092787,431.2615067,-140.152228
2022,"ANTIOQUIA",281.80948966,392.3201275,-110.51063784
2023,"ANTIOQUIA",316.39212998,465.0845075,-148.69237752
