"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2013,"ANTIOQUIA","Arroz",0.65146,51.03204,-50.38058
2013,"ANTIOQUIA","Carne de cerdo",4.650525,4.650525,0
2013,"ANTIOQUIA","Carne de res",4.723775,4.720845,0.0029300000000001
2013,"ANTIOQUIA","Cebolla Cabezona",0.07772,23.816855,-23.739135
2013,"ANTIOQUIA","Cebolla junca",3.98333,6.986398,-3.003068
2013,"ANTIOQUIA","Fríjol",3.326896,6.934336,-3.60744
2013,"ANTIOQUIA","Fríjol verde",6.421553,6.916593,-0.495039999999999
2013,"ANTIOQUIA","Huevo",2.99370108,4.99422888,-2.0005278
2013,"ANTIOQUIA","Lechuga Batavia",7.206283,14.301984,-7.095701
2013,"ANTIOQUIA","Limones otros",2.05472,4.196085,-2.141365
2013,"ANTIOQUIA","Limón Tahití",1.653105,5.06966,-3.416555
2013,"ANTIOQUIA","Papa Morasurco",0.0084,0.0169,-0.0085
2013,"ANTIOQUIA","Papa R-12",0.008,0.0485,-0.0405
2013,"ANTIOQUIA","Papa capira",34.970584,77.424639,-42.454055
2013,"ANTIOQUIA","Papa criolla",10.327129,12.485529,-2.1584
2013,"ANTIOQUIA","Papa nevada",5.150944,4.034564,1.11638
2013,"ANTIOQUIA","Papa parda pastusa",0.00105,0.01105,-0.01
2013,"ANTIOQUIA","Papa suprema",0.005,0,0.005
2013,"ANTIOQUIA","Papas negras otras",0.11858,0.11858,0
2013,"ANTIOQUIA","Plátano guineo",3.151318,6.568366,-3.417048
2013,"ANTIOQUIA","Plátano hartón verde",14.562236,56.148248,-41.586012
2013,"ANTIOQUIA","Plátanos otros",1.37621,2.984393,-1.608183
2013,"ANTIOQUIA","Repollo",15.262756,16.716066,-1.45331
2013,"ANTIOQUIA","Tomate Riogrande",0.16753,0.0287,0.13883
2013,"ANTIOQUIA","Tomate chonto",24.052361,32.990165,-8.937804
2013,"ANTIOQUIA","Tomate larga vida",0.0485,0.45107,-0.40257
2013,"ANTIOQUIA","Tomates otros",0.05421,1.35871,-1.3045
2013,"ANTIOQUIA","Yuca",16.194937,17.313687,-1.11875
2013,"ANTIOQUIA","Zanahoria",26.685927,27.552022,-0.866095000000001
2014,"ANTIOQUIA","Arroz",1.699495,57.65507,-55.955575
2014,"ANTIOQUIA","Carne de cerdo",5.525131,5.259331,0.2658
2014,"ANTIOQUIA","Carne de res",5.806448,5.619388,0.18706
2014,"ANTIOQUIA","Cebolla Cabezona",0.046169,24.418936,-24.372767
2014,"ANTIOQUIA","Cebolla junca",4.141922,6.348888,-2.206966
2014,"ANTIOQUIA","Cilantro",0.941755,0.936385,0.00536999999999999
2014,"ANTIOQUIA","Fríjol",3.0328,7.4531,-4.4203
2014,"ANTIOQUIA","Fríjol verde",7.558326,7.693941,-0.135615
2014,"ANTIOQUIA","Huevo",2.81772198,4.83753924,-2.01981726
2014,"ANTIOQUIA","Lechuga Batavia",10.771522,15.300612,-4.52909
2014,"ANTIOQUIA","Limones otros",1.922395,4.752124,-2.829729
2014,"ANTIOQUIA","Limón Tahití",1.090221,4.684629,-3.594408
2014,"ANTIOQUIA","Papa R-12",0.031,0.0555,-0.0245
2014,"ANTIOQUIA","Papa capira",51.896969,95.67612,-43.779151
2014,"ANTIOQUIA","Papa criolla",14.625182,16.094322,-1.46914
2014,"ANTIOQUIA","Papa nevada",4.696877,4.143062,0.553814999999999
2014,"ANTIOQUIA","Papa parda pastusa",0.018,0,0.018
2014,"ANTIOQUIA","Papa suprema",0.01,0,0.01
2014,"ANTIOQUIA","Papa única",0.008,0,0.008
2014,"ANTIOQUIA","Papas negras otras",0.0236,0.1327,-0.1091
2014,"ANTIOQUIA","Plátano guineo",3.579019,7.692619,-4.1136
2014,"ANTIOQUIA","Plátano hartón verde",17.134333,51.859039,-34.724706
2014,"ANTIOQUIA","Plátanos otros",2.321649,4.924356,-2.602707
2014,"ANTIOQUIA","Repollo",14.733143,15.856878,-1.123735
2014,"ANTIOQUIA","Tomate Riogrande",0.124085,0.015965,0.10812
2014,"ANTIOQUIA","Tomate chonto",25.208772,32.444901,-7.236129
2014,"ANTIOQUIA","Tomate larga vida",0.037095,0.315295,-0.2782
2014,"ANTIOQUIA","Tomates otros",0.060548,1.430758,-1.37021
2014,"ANTIOQUIA","Yuca",13.080131,15.202828,-2.122697
2014,"ANTIOQUIA","Zanahoria",26.9303835,28.3308535,-1.40047
2015,"ANTIOQUIA","Arroz",0.7614925,53.8075425,-53.04605
2015,"ANTIOQUIA","Carne de cerdo",4.632078,4.508878,0.1232
2015,"ANTIOQUIA","Carne de res",6.268024,6.137624,0.130400000000001
2015,"ANTIOQUIA","Cebolla Cabezona",0.170991,23.633619,-23.462628
2015,"ANTIOQUIA","Cebolla junca",3.8282285,5.4670165,-1.638788
2015,"ANTIOQUIA","Cilantro",2.261519,2.298679,-0.0371600000000001
2015,"ANTIOQUIA","Fríjol",2.199135,4.906065,-2.70693
2015,"ANTIOQUIA","Fríjol verde",7.393829,7.495934,-0.102105
2015,"ANTIOQUIA","Huevo",3.81128232,5.46032412,-1.6490418
2015,"ANTIOQUIA","Lechuga Batavia",11.117394,13.682174,-2.56478
2015,"ANTIOQUIA","Limones otros",1.134386,3.080685,-1.946299
2015,"ANTIOQUIA","Limón Tahití",0.810792,4.670967,-3.860175
2015,"ANTIOQUIA","Limón común",0.146502,0.535977,-0.389475
2015,"ANTIOQUIA","Limón mandarino",0.564937,0.743801,-0.178864
2015,"ANTIOQUIA","Papa Morasurco",0.0028,0.0128,-0.01
2015,"ANTIOQUIA","Papa capira",54.709887,90.212812,-35.502925
2015,"ANTIOQUIA","Papa criolla",13.058126,15.326621,-2.268495
2015,"ANTIOQUIA","Papa nevada",4.438618,3.657998,0.78062
2015,"ANTIOQUIA","Papa parda pastusa",0.019825,0.002825,0.017
2015,"ANTIOQUIA","Papa única",0.0005,0,0.0005
2015,"ANTIOQUIA","Papas negras otras",0.0723,0.0683,0.004
2015,"ANTIOQUIA","Plátano guineo",2.474305,6.047096,-3.572791
2015,"ANTIOQUIA","Plátano hartón verde",17.0801,50.157136,-33.077036
2015,"ANTIOQUIA","Plátanos otros",0.73331,2.393174,-1.659864
2015,"ANTIOQUIA","Repollo",14.923266,15.840639,-0.917373
2015,"ANTIOQUIA","Tomate Riogrande",0.201946,0,0.201946
2015,"ANTIOQUIA","Tomate chonto",25.265012,31.5271,-6.262088
2015,"ANTIOQUIA","Tomate larga vida",0.043366,0.294216,-0.25085
2015,"ANTIOQUIA","Tomates otros",0.04717,1.342848,-1.295678
2015,"ANTIOQUIA","Yuca",12.017261,14.196321,-2.17906
2015,"ANTIOQUIA","Zanahoria",27.796105,27.916874,-0.120768999999999
2016,"ANTIOQUIA","Arroz",0.83195,67.563525,-66.731575
2016,"ANTIOQUIA","Carne de cerdo",4.041479,3.808979,0.2325
2016,"ANTIOQUIA","Carne de res",7.538192,7.390442,0.147749999999999
2016,"ANTIOQUIA","Cebolla Cabezona",0.084828,22.168508,-22.08368
2016,"ANTIOQUIA","Cebolla junca",4.377887,5.974453,-1.596566
2016,"ANTIOQUIA","Cilantro",1.946955,1.958003,-0.0110479999999999
2016,"ANTIOQUIA","Fríjol",2.256956,5.006896,-2.74994
2016,"ANTIOQUIA","Fríjol verde",7.432095,7.38437,0.0477250000000007
2016,"ANTIOQUIA","Huevo",3.99287196,5.39693142,-1.40405946
2016,"ANTIOQUIA","Lechuga Batavia",10.567048,12.413147,-1.846099
2016,"ANTIOQUIA","Limón Tahití",0.902357,4.718543,-3.816186
2016,"ANTIOQUIA","Limón común",0.13533,1.59961,-1.46428
2016,"ANTIOQUIA","Limón mandarino",1.659932,2.08187,-0.421938
2016,"ANTIOQUIA","Papa capira",49.1431,101.446165,-52.303065
2016,"ANTIOQUIA","Papa criolla",8.582709,10.477344,-1.894635
2016,"ANTIOQUIA","Papa nevada",4.439027,3.410787,1.02824
2016,"ANTIOQUIA","Papa parda pastusa",0.00376,0.00276,0.001
2016,"ANTIOQUIA","Papa única",0.0025,0,0.0025
2016,"ANTIOQUIA","Papas negras otras",0.0075,0.0162,-0.0087
2016,"ANTIOQUIA","Plátano guineo",2.027081,4.646165,-2.619084
2016,"ANTIOQUIA","Plátano hartón verde",23.177901,51.884074,-28.706173
2016,"ANTIOQUIA","Plátanos otros",0.954908,2.45528,-1.500372
2016,"ANTIOQUIA","Repollo",14.5770785,15.924187,-1.3471085
2016,"ANTIOQUIA","Tomate Riogrande",0.1779,0.008,0.1699
