"","mes_y_ano","IHH","year","month"
"1",2013-01-01,0.0507323464020953,2013,1
"2",2013-02-01,0.0613960021211532,2013,2
"3",2013-03-01,0.0550342412158908,2013,3
"4",2013-04-01,0.0396653530229754,2013,4
"5",2013-05-01,0.0398760039173075,2013,5
"6",2013-06-01,0.0387146401890438,2013,6
"7",2013-07-01,0.0421259400006393,2013,7
"8",2013-08-01,0.0430943756823392,2013,8
"9",2013-09-01,0.0476461411386886,2013,9
"10",2013-10-01,0.0429957959999643,2013,10
"11",2013-11-01,0.0445215040249526,2013,11
"12",2013-12-01,0.0522154545904289,2013,12
"13",2014-01-01,0.0494950649456541,2014,1
"14",2014-02-01,0.0502094417097371,2014,2
"15",2014-03-01,0.0427816710859002,2014,3
"16",2014-04-01,0.0392924734729507,2014,4
"17",2014-05-01,0.0407665805194804,2014,5
"18",2014-06-01,0.0424137180812911,2014,6
"19",2014-07-01,0.0405788989138695,2014,7
"20",2014-08-01,0.0450533920819177,2014,8
"21",2014-09-01,0.0485799039970235,2014,9
"22",2014-10-01,0.0486006057993834,2014,10
"23",2014-11-01,0.0486470039893036,2014,11
"24",2014-12-01,0.0505204537319164,2014,12
"25",2015-01-01,0.0526016160312726,2015,1
"26",2015-02-01,0.0518434850226789,2015,2
"27",2015-03-01,0.0450491793289731,2015,3
"28",2015-04-01,0.0419952937627381,2015,4
"29",2015-05-01,0.0396063789793664,2015,5
"30",2015-06-01,0.0491044606331636,2015,6
"31",2015-07-01,0.0490200562115967,2015,7
"32",2015-08-01,0.0459426684202929,2015,8
"33",2015-09-01,0.0497040580616396,2015,9
"34",2015-10-01,0.0467638593026241,2015,10
"35",2015-11-01,0.0471582513132232,2015,11
"36",2015-12-01,0.0467314696943292,2015,12
"37",2016-01-01,0.0430714905719671,2016,1
"38",2016-02-01,0.0498336289737739,2016,2
"39",2016-03-01,0.0436083177957751,2016,3
"40",2016-04-01,0.0434247685035754,2016,4
"41",2016-05-01,0.0499255308566234,2016,5
"42",2016-06-01,0.0449099280665528,2016,6
"43",2016-07-01,0.0472193194997858,2016,7
"44",2016-08-01,0.0628019065501614,2016,8
"45",2016-09-01,0.0538696671546949,2016,9
"46",2016-10-01,0.0615289050584162,2016,10
"47",2016-11-01,0.0481568314322623,2016,11
"48",2016-12-01,0.0459232248776676,2016,12
"49",2017-01-01,0.0548298398773632,2017,1
"50",2017-02-01,0.0608548011667522,2017,2
"51",2017-03-01,0.0530575066367902,2017,3
"52",2017-04-01,0.0429068458406273,2017,4
