"anio","producto","indice_vulnerabilidad"
2013,"ARROZ",0.160642884040287
2013,"CARNE DE CERDO",0.15335438224059
2013,"CARNE DE RES",0.274038925837855
2013,"CEBOLLA CABEZONA",0.292552236742816
2013,"CEBOLLA JUNCA",0.198168120987118
2013,"FRÍJOL",0.212229656334929
2013,"FRÍJOL VERDE",0.185753481571949
2013,"HUEVO",0.300217999511835
2013,"LECHUGA BATAVIA",0.306936608135976
2013,"LIMÓN TAHITÍ",0.0678544586825114
2013,"LIMONES OTROS",0.153536031200477
2013,"PAPA CAPIRA",0.273712100775239
2013,"PAPA CRIOLLA",0.15028820234715
2013,"PAPA MORASURCO",0.501488043135745
2013,"PAPA NEVADA",0.350883129089458
2013,"PAPA PARDA PASTUSA",0.866495362502815
2013,"PAPA R-12",0.779785311935381
2013,"PAPAS NEGRAS OTRAS",1
2013,"PLÁTANO GUINEO",0.223791094806874
2013,"PLÁTANO HARTÓN VERDE",0.156079054639927
2013,"PLÁTANOS OTROS",0.214918957148757
2013,"REPOLLO",0.24027930660503
2013,"TOMATE CHONTO",0.124220644791683
2013,"TOMATE LARGA VIDA",0.274208373271471
2013,"TOMATE RIOGRANDE",0.400941620966122
2013,"TOMATES OTROS",0.593272213824796
2013,"YUCA",0.596515570061489
2013,"ZANAHORIA",0.23026951447606
2014,"ARROZ",0.193365264882006
2014,"CARNE DE CERDO",0.146626749426149
2014,"CARNE DE RES",0.262551715423928
2014,"CEBOLLA CABEZONA",0.129578763885924
2014,"CEBOLLA JUNCA",0.204180588167004
2014,"CILANTRO",0.208357014172658
2014,"FRÍJOL",0.0618924776779478
2014,"FRÍJOL VERDE",0.155875938424683
2014,"HUEVO",0.278026516366512
2014,"LECHUGA BATAVIA",0.345564393127149
2014,"LIMÓN TAHITÍ",0.0722130267221571
2014,"LIMONES OTROS",0.218162281294973
2014,"PAPA CAPIRA",0.240694847215515
2014,"PAPA CRIOLLA",0.127002570476321
2014,"PAPA MORASURCO",0.583610833210267
2014,"PAPA NEVADA",0.268267450785352
2014,"PAPA R-12",0.426668096091251
2014,"PAPAS NEGRAS OTRAS",0.660322880413573
2014,"PLÁTANO GUINEO",0.263309796725644
2014,"PLÁTANO HARTÓN VERDE",0.159357320092165
2014,"PLÁTANOS OTROS",0.29251925813392
2014,"REPOLLO",0.234563986220032
2014,"TOMATE CHONTO",0.120100394168414
2014,"TOMATE LARGA VIDA",0.382953413303189
2014,"TOMATE RIOGRANDE",0.391279583571969
2014,"TOMATES OTROS",0.550076645380988
2014,"YUCA",0.576636007184688
2014,"ZANAHORIA",0.201787468043051
2015,"ARROZ",0.226003112694667
2015,"CARNE DE CERDO",0.141292983176588
2015,"CARNE DE RES",0.257694359566298
2015,"CEBOLLA CABEZONA",0.138293558653331
2015,"CEBOLLA JUNCA",0.198199861912931
2015,"CILANTRO",0.214885565816529
2015,"FRÍJOL",0.0989505796092807
2015,"FRÍJOL VERDE",0.179086322485906
2015,"HUEVO",0.250932819575339
2015,"LECHUGA BATAVIA",0.241892728556644
2015,"LIMÓN COMÚN",0.332321558039605
2015,"LIMÓN MANDARINO",0.226333180273566
2015,"LIMÓN TAHITÍ",0.235890680219137
2015,"LIMONES OTROS",0.258650580194669
2015,"PAPA CAPIRA",0.229827735566095
2015,"PAPA CRIOLLA",0.151004866597263
2015,"PAPA MORASURCO",0.7197265625
2015,"PAPA NEVADA",0.371014151745558
2015,"PAPA PARDA PASTUSA",1
2015,"PAPAS NEGRAS OTRAS",0.402249192434145
2015,"PLÁTANO GUINEO",0.193285616945988
2015,"PLÁTANO HARTÓN VERDE",0.164471571038726
2015,"PLÁTANOS OTROS",0.214777572505415
2015,"REPOLLO",0.24042737032554
2015,"TOMATE CHONTO",0.116978724046107
2015,"TOMATE LARGA VIDA",0.35799522861774
2015,"TOMATES OTROS",0.534789301990085
2015,"YUCA",0.596949234720822
2015,"ZANAHORIA",0.261480317054454
2016,"ARROZ",0.206274864932877
2016,"CARNE DE CERDO",0.240515451977942
2016,"CARNE DE RES",0.350117621917939
2016,"CEBOLLA CABEZONA",0.126922323827705
2016,"CEBOLLA JUNCA",0.232922379310823
2016,"CILANTRO",0.238303885415313
2016,"FRÍJOL",0.0904934454793015
2016,"FRÍJOL VERDE",0.196987620324265
2016,"HUEVO",0.249566871105853
2016,"LECHUGA BATAVIA",0.290011227748598
2016,"LIMÓN COMÚN",0.53382212685049
2016,"LIMÓN MANDARINO",0.1402987942346
2016,"LIMÓN TAHITÍ",0.245638006136999
2016,"PAPA CAPIRA",0.245974980940484
2016,"PAPA CRIOLLA",0.140700393668868
2016,"PAPA NEVADA",0.461035332332729
2016,"PAPA PARDA PASTUSA",1
2016,"PAPA R-12",0.458827565924909
2016,"PAPAS NEGRAS OTRAS",0.463251124066453
2016,"PLÁTANO GUINEO",0.161100794942326
2016,"PLÁTANO HARTÓN VERDE",0.179612906985468
2016,"PLÁTANOS OTROS",0.216071046777108
2016,"REPOLLO",0.236245456525389
2016,"TOMATE CHONTO",0.120797242928162
2016,"TOMATE LARGA VIDA",0.275345346284412
2016,"TOMATE RIOGRANDE",1
2016,"TOMATES OTROS",0.620069232154118
2016,"YUCA",0.563513823029709
2016,"ZANAHORIA",0.21535610837859
2017,"ARROZ",0.399110138103722
2017,"CARNE DE CERDO",0.194922223805857
2017,"CARNE DE RES",0.391084661081909
2017,"CEBOLLA CABEZONA",0.175862773421148
2017,"CEBOLLA JUNCA",0.255188430490548
2017,"CILANTRO",0.226913258997678
