"anio","mes","producto","mes_y_ano","indice_vulnerabilidad"
2013,1,"ARROZ",2013-01-01,0.151244208161964
2013,1,"CARNE DE CERDO",2013-01-01,0.154935217650683
2013,1,"CARNE DE RES",2013-01-01,0.295168194083511
2013,1,"CEBOLLA CABEZONA",2013-01-01,0.316910875507012
2013,1,"CEBOLLA JUNCA",2013-01-01,0.218137180947121
2013,1,"FRÍJOL",2013-01-01,0.253345379381633
2013,1,"FRÍJOL VERDE",2013-01-01,0.185168372448508
2013,1,"HUEVO",2013-01-01,0.29291123820532
2013,1,"LECHUGA BATAVIA",2013-01-01,0.569502790068442
2013,1,"LIMÓN TAHITÍ",2013-01-01,0.0870949261953141
2013,1,"LIMONES OTROS",2013-01-01,0.171736569300834
2013,1,"PAPA CAPIRA",2013-01-01,0.426414881620655
2013,1,"PAPA CRIOLLA",2013-01-01,0.154857453310435
2013,1,"PAPA NEVADA",2013-01-01,0.331542304242699
2013,1,"PAPA PARDA PASTUSA",2013-01-01,1
2013,1,"PAPA R-12",2013-01-01,1
2013,1,"PAPAS NEGRAS OTRAS",2013-01-01,1
2013,1,"PLÁTANO GUINEO",2013-01-01,0.300728591454721
2013,1,"PLÁTANO HARTÓN VERDE",2013-01-01,0.134969443090686
2013,1,"PLÁTANOS OTROS",2013-01-01,0.381051737883333
2013,1,"REPOLLO",2013-01-01,0.316796987863256
2013,1,"TOMATE CHONTO",2013-01-01,0.15067888853943
2013,1,"TOMATE LARGA VIDA",2013-01-01,0.392625116459539
2013,1,"TOMATE RIOGRANDE",2013-01-01,0.33437405958668
2013,1,"TOMATES OTROS",2013-01-01,0.622891796723167
2013,1,"YUCA",2013-01-01,0.62419466288121
2013,1,"ZANAHORIA",2013-01-01,0.211534855993419
2013,10,"ARROZ",2013-10-01,0.447123344140568
2013,10,"CARNE DE CERDO",2013-10-01,0.137369733112551
2013,10,"CARNE DE RES",2013-10-01,0.354132187913049
2013,10,"CEBOLLA CABEZONA",2013-10-01,0.363684851088778
2013,10,"CEBOLLA JUNCA",2013-10-01,0.230351237145471
2013,10,"FRÍJOL",2013-10-01,0.249642755322823
2013,10,"FRÍJOL VERDE",2013-10-01,0.249775713696603
2013,10,"HUEVO",2013-10-01,0.310727318923225
2013,10,"LECHUGA BATAVIA",2013-10-01,0.310356468197013
2013,10,"LIMÓN TAHITÍ",2013-10-01,0.245386370776556
2013,10,"LIMONES OTROS",2013-10-01,0.148866374936103
2013,10,"PAPA CAPIRA",2013-10-01,0.256385266966678
2013,10,"PAPA CRIOLLA",2013-10-01,0.18655152493167
2013,10,"PAPA NEVADA",2013-10-01,0.437690706070747
2013,10,"PLÁTANO GUINEO",2013-10-01,0.313739524134515
2013,10,"PLÁTANO HARTÓN VERDE",2013-10-01,0.338958810823078
2013,10,"PLÁTANOS OTROS",2013-10-01,0.294627856524656
2013,10,"REPOLLO",2013-10-01,0.249375796663743
2013,10,"TOMATE CHONTO",2013-10-01,0.20257695461904
2013,10,"TOMATE LARGA VIDA",2013-10-01,0.533509051148927
2013,10,"TOMATE RIOGRANDE",2013-10-01,1
2013,10,"TOMATES OTROS",2013-10-01,0.674452551993689
2013,10,"YUCA",2013-10-01,0.689377719049581
