producto,ciudad,mes_y_ano,precio_prom,anio
Acelga,Bogotá,2021-11-01,421.4285714285714,2021
Acelga,Bucaramanga,2021-11-01,1850,2021
Acelga,Medellín,2021-11-01,1675,2021
Acelga,Neiva,2021-11-01,1812.5,2021
Aguacate,Armenia,2013-01-01,2669.727272727273,2013
Aguacate,Armenia,2013-02-01,3344.333333333333,2013
Aguacate,Armenia,2013-03-01,4166.6,2013
Aguacate,Armenia,2013-04-01,3821.090909090909,2013
Aguacate,Armenia,2013-05-01,2265.25,2013
Aguacate,Armenia,2013-06-01,2137.5,2013
Aguacate,Armenia,2013-07-01,2339.357142857143,2013
Aguacate,Armenia,2013-08-01,2620.833333333333,2013
Aguacate,Armenia,2013-09-01,3038,2013
Aguacate,Armenia,2013-10-01,3071.769230769231,2013
Aguacate,Armenia,2013-11-01,3629.9,2013
Aguacate,Armenia,2013-12-01,3395.857142857143,2013
Aguacate,Armenia,2014-01-01,3012.583333333333,2014
Aguacate,Armenia,2014-02-01,3616.8,2014
Aguacate,Armenia,2014-03-01,3947.916666666667,2014
Aguacate,Armenia,2014-04-01,3856.916666666667,2014
Aguacate,Armenia,2014-05-01,2687.181818181818,2014
Aguacate,Armenia,2014-06-01,2222.727272727273,2014
Aguacate,Armenia,2014-07-01,2440.285714285714,2014
Aguacate,Armenia,2014-08-01,2560.9,2014
Aguacate,Armenia,2014-09-01,3233.307692307692,2014
Aguacate,Armenia,2014-10-01,3500,2014
Aguacate,Armenia,2014-11-01,3756.25,2014
Aguacate,Armenia,2014-12-01,4035.375,2014
Aguacate,Armenia,2015-01-01,2802.125,2015
Aguacate,Armenia,2015-02-01,3308.333333333333,2015
Aguacate,Armenia,2015-03-01,4423.153846153846,2015
Aguacate,Armenia,2015-04-01,3529.166666666667,2015
Aguacate,Armenia,2015-05-01,2560.636363636364,2015
Aguacate,Armenia,2015-06-01,1863.636363636364,2015
Aguacate,Armenia,2015-07-01,1822.916666666667,2015
Aguacate,Armenia,2015-08-01,2487.5,2015
Aguacate,Armenia,2015-09-01,3433.461538461539,2015
Aguacate,Armenia,2015-10-01,3535.375,2015
Aguacate,Armenia,2015-11-01,2856.818181818182,2015
Aguacate,Armenia,2015-12-01,2842.923076923077,2015
Aguacate,Armenia,2016-01-01,3580,2016
Aguacate,Armenia,2016-02-01,4492.307692307692,2016
Aguacate,Armenia,2016-03-01,4968.75,2016
Aguacate,Armenia,2016-04-01,4527.083333333333,2016
Aguacate,Armenia,2016-05-01,3238.888888888889,2016
Aguacate,Armenia,2016-06-01,2008.333333333333,2016
Aguacate,Armenia,2016-07-01,1956.818181818182,2016
Aguacate,Armenia,2016-08-01,2622.916666666667,2016
Aguacate,Armenia,2016-09-01,3419.230769230769,2016
Aguacate,Armenia,2016-10-01,3616.666666666667,2016
Aguacate,Armenia,2016-11-01,3675,2016
Aguacate,Armenia,2016-12-01,3588.166666666667,2016
Aguacate,Armenia,2017-01-01,3440.384615384615,2017
Aguacate,Armenia,2017-02-01,3647.916666666667,2017
Aguacate,Armenia,2017-03-01,4311.166666666667,2017
Aguacate,Armenia,2017-04-01,4321.181818181818,2017
Aguacate,Armenia,2017-05-01,3327.083333333333,2017
Aguacate,Armenia,2017-06-01,2720.454545454545,2017
Aguacate,Armenia,2017-07-01,2020,2017
Aguacate,Armenia,2017-08-01,2102.75,2017
Aguacate,Armenia,2017-09-01,2813.916666666667,2017
Aguacate,Armenia,2017-10-01,3842.363636363636,2017
Aguacate,Armenia,2017-11-01,4136.6,2017
Aguacate,Armenia,2017-12-01,3224.181818181818,2017
Aguacate,Armenia,2018-01-01,3563.833333333333,2018
Aguacate,Armenia,2018-02-01,4466.333333333333,2018
Aguacate,Armenia,2018-03-01,5053.4,2018
Aguacate,Armenia,2018-04-01,5117,2018
Aguacate,Armenia,2018-05-01,3726,2018
Aguacate,Armenia,2018-06-01,2287.5,2018
Aguacate,Armenia,2018-07-01,1953.1,2018
Aguacate,Armenia,2018-08-01,2320.875,2018
Aguacate,Armenia,2018-09-01,3111.111111111111,2018
Aguacate,Armenia,2018-10-01,4124.875,2018
Aguacate,Armenia,2018-11-01,3772.166666666667,2018
Aguacate,Armenia,2018-12-01,3626,2018
Aguacate,Armenia,2019-01-01,3022.166666666667,2019
Aguacate,Armenia,2019-02-01,3444.444444444444,2019
Aguacate,Armenia,2019-03-01,4619,2019
Aguacate,Armenia,2019-04-01,5466.75,2019
Aguacate,Armenia,2019-05-01,3707.444444444444,2019
Aguacate,Armenia,2019-06-01,2925,2019
Aguacate,Armenia,2019-07-01,2400,2019
Aguacate,Armenia,2019-08-01,2758.125,2019
Aguacate,Armenia,2019-09-01,4199.888888888889,2019
Aguacate,Armenia,2019-10-01,4425.777777777777,2019
Aguacate,Armenia,2019-11-01,3529.666666666667,2019
Aguacate,Armenia,2019-12-01,3333.6,2019
Aguacate,Armenia,2020-01-01,3270.333333333333,2020
Aguacate,Armenia,2020-02-01,4100.333333333333,2020
Aguacate,Armenia,2020-03-01,4837.111111111111,2020
Aguacate,Armenia,2020-04-01,3763.222222222222,2020
Aguacate,Armenia,2020-05-01,3158.25,2020
Aguacate,Armenia,2020-06-01,2438.833333333333,2020
Aguacate,Armenia,2020-07-01,2050,2020
Aguacate,Armenia,2020-08-01,3074.333333333333,2020
Aguacate,Armenia,2020-09-01,4344.166666666667,2020
Aguacate,Armenia,2020-10-01,5533.333333333333,2020
Aguacate,Armenia,2020-11-01,4841.5,2020
Aguacate,Armenia,2020-12-01,5213.6,2020
Aguacate,Armenia,2021-01-01,4779.25,2021
Aguacate,Armenia,2021-02-01,4609.857142857143,2021
Aguacate,Armenia,2021-03-01,4033,2021
Aguacate,Armenia,2021-04-01,4399.666666666667,2021
Aguacate,Armenia,2021-05-01,4070.555555555556,2021
Aguacate,Armenia,2021-06-01,3567,2021
Aguacate,Armenia,2021-07-01,3567,2021
Aguacate,Armenia,2021-08-01,3337,2021
Aguacate,Armenia,2021-09-01,4339,2021
Aguacate,Armenia,2021-12-01,3800,2021
Aguacate,Armenia,2022-01-01,4816.666666666667,2022
Aguacate,Armenia,2022-04-01,4527.363636363636,2022
Aguacate,Armenia,2022-05-01,5140.692307692308,2022
Aguacate,Armenia,2022-06-01,4781.727272727273,2022
Aguacate,Armenia,2022-07-01,4170.555555555556,2022
Aguacate,Armenia,2022-08-01,3441.076923076923,2022
Aguacate,Armenia,2022-09-01,3866.666666666667,2022
Aguacate,Armenia,2022-10-01,5083.5,2022
Aguacate,Armenia,2022-11-01,5667,2022
Aguacate,Armenia,2022-12-01,5352.571428571428,2022
Aguacate,Armenia,2023-01-01,5833,2023
Aguacate,Armenia,2023-02-01,5127.916666666667,2023
Aguacate,Armenia,2023-03-01,5444.5,2023
Aguacate,Armenia,2023-04-01,5833,2023
