"anio","depto","sale_kg","ingresa_kg","total_importado"
2013,"ANTIOQUIA",189888740.08,389870738.88,-199981998.8
2014,"ANTIOQUIA",219872692.48,419154119.74,-199281427.26
2015,"ANTIOQUIA",217984487.32,395426046.12,-177441558.8
2016,"ANTIOQUIA",216222590.46,413098395.42,-196875804.96
2017,"ANTIOQUIA",221436707.52,440527195.42,-219090487.9
2018,"ANTIOQUIA",258191986.56,426683623.22,-168491636.66
2019,"ANTIOQUIA",280856303.52,454510244.42,-173653940.9
2021,"ANTIOQUIA",291109278.7,431261506.7,-140152228
2022,"ANTIOQUIA",281809489.66,392320127.5,-110510637.84
2023,"ANTIOQUIA",316392129.98,465084507.5,-148692377.52
