"anio","depto","producto","sale_kg","ingresa_kg","total_importado"
2013,"ANTIOQUIA","arroz",651460,51032040,-50380580
2013,"ANTIOQUIA","carne de cerdo",4650525,4650525,0
2013,"ANTIOQUIA","carne de res",4723775,4720845,2930
2013,"ANTIOQUIA","cebolla cabezona",77720,23816855,-23739135
2013,"ANTIOQUIA","cebolla junca",3983330,6986398,-3003068
2013,"ANTIOQUIA","fríjol",3326896,6934336,-3607440
2013,"ANTIOQUIA","fríjol verde",6421553,6916593,-495040
2013,"ANTIOQUIA","huevo",2993701.08,4994228.88,-2000527.8
2013,"ANTIOQUIA","lechuga batavia",7206283,14301984,-7095701
2013,"ANTIOQUIA","limones otros",2054720,4196085,-2141365
2013,"ANTIOQUIA","limón tahití",1653105,5069660,-3416555
2013,"ANTIOQUIA","papa capira",34970584,77424639,-42454055
2013,"ANTIOQUIA","papa criolla",10327129,12485529,-2158400
2013,"ANTIOQUIA","papa morasurco",8400,16900,-8500
2013,"ANTIOQUIA","papa nevada",5150944,4034564,1116380
2013,"ANTIOQUIA","papa parda pastusa",1050,11050,-10000
2013,"ANTIOQUIA","papa r-12",8000,48500,-40500
2013,"ANTIOQUIA","papa suprema",5000,0,5000
2013,"ANTIOQUIA","papas negras otras",118580,118580,0
2013,"ANTIOQUIA","plátano guineo",3151318,6568366,-3417048
2013,"ANTIOQUIA","plátano hartón verde",14562236,56148248,-41586012
2013,"ANTIOQUIA","plátanos otros",1376210,2984393,-1608183
2013,"ANTIOQUIA","repollo",15262756,16716066,-1453310
2013,"ANTIOQUIA","tomate chonto",24052361,32990165,-8937804
2013,"ANTIOQUIA","tomate larga vida",48500,451070,-402570
2013,"ANTIOQUIA","tomate riogrande",167530,28700,138830
2013,"ANTIOQUIA","tomates otros",54210,1358710,-1304500
2013,"ANTIOQUIA","yuca",16194937,17313687,-1118750
2013,"ANTIOQUIA","zanahoria",26685927,27552022,-866095
2014,"ANTIOQUIA","arroz",1699495,57655070,-55955575
2014,"ANTIOQUIA","carne de cerdo",5525131,5259331,265800
2014,"ANTIOQUIA","carne de res",5806448,5619388,187060
2014,"ANTIOQUIA","cebolla cabezona",46169,24418936,-24372767
2014,"ANTIOQUIA","cebolla junca",4141922,6348888,-2206966
2014,"ANTIOQUIA","cilantro",941755,936385,5370
2014,"ANTIOQUIA","fríjol",3032800,7453100,-4420300
2014,"ANTIOQUIA","fríjol verde",7558326,7693941,-135615
2014,"ANTIOQUIA","huevo",2817721.98,4837539.24,-2019817.26
2014,"ANTIOQUIA","lechuga batavia",10771522,15300612,-4529090
2014,"ANTIOQUIA","limones otros",1922395,4752124,-2829729
2014,"ANTIOQUIA","limón tahití",1090221,4684629,-3594408
2014,"ANTIOQUIA","papa capira",51896969,95676120,-43779151
2014,"ANTIOQUIA","papa criolla",14625182,16094322,-1469140
2014,"ANTIOQUIA","papa nevada",4696877,4143062,553815
2014,"ANTIOQUIA","papa parda pastusa",18000,0,18000
2014,"ANTIOQUIA","papa r-12",31000,55500,-24500
2014,"ANTIOQUIA","papa suprema",10000,0,10000
2014,"ANTIOQUIA","papa única",8000,0,8000
2014,"ANTIOQUIA","papas negras otras",23600,132700,-109100
2014,"ANTIOQUIA","plátano guineo",3579019,7692619,-4113600
2014,"ANTIOQUIA","plátano hartón verde",17134333,51859039,-34724706
2014,"ANTIOQUIA","plátanos otros",2321649,4924356,-2602707
2014,"ANTIOQUIA","repollo",14733143,15856878,-1123735
2014,"ANTIOQUIA","tomate chonto",25208772,32444901,-7236129
2014,"ANTIOQUIA","tomate larga vida",37095,315295,-278200
2014,"ANTIOQUIA","tomate riogrande",124085,15965,108120
2014,"ANTIOQUIA","tomates otros",60548,1430758,-1370210
2014,"ANTIOQUIA","yuca",13080131,15202828,-2122697
2014,"ANTIOQUIA","zanahoria",26930383.5,28330853.5,-1400470
2015,"ANTIOQUIA","arroz",761492.5,53807542.5,-53046050
2015,"ANTIOQUIA","carne de cerdo",4632078,4508878,123200
2015,"ANTIOQUIA","carne de res",6268024,6137624,130400
2015,"ANTIOQUIA","cebolla cabezona",170991,23633619,-23462628
2015,"ANTIOQUIA","cebolla junca",3828228.5,5467016.5,-1638788
2015,"ANTIOQUIA","cilantro",2261519,2298679,-37160
2015,"ANTIOQUIA","fríjol",2199135,4906065,-2706930
