"mes","anio","depto","producto","sale_kg","ingresa_kg","total_importado","fecha"
1,2013,"ANTIOQUIA","Arroz",0.04125,5.64355,-5.6023,2013-01-01
1,2013,"ANTIOQUIA","Carne de cerdo",0.36372,0.36372,0,2013-01-01
1,2013,"ANTIOQUIA","Carne de res",0.27145,0.27545,-0.004,2013-01-01
1,2013,"ANTIOQUIA","Cebolla Cabezona",0.001765,1.763015,-1.76125,2013-01-01
1,2013,"ANTIOQUIA","Cebolla junca",0.296521,0.571223,-0.274702,2013-01-01
1,2013,"ANTIOQUIA","Fríjol",0.15772,0.38092,-0.2232,2013-01-01
1,2013,"ANTIOQUIA","Fríjol verde",0.54545,0.61185,-0.0664,2013-01-01
1,2013,"ANTIOQUIA","Huevo",0.25958868,0.38031468,-0.120726,2013-01-01
1,2013,"ANTIOQUIA","Lechuga Batavia",0.393041,1.121601,-0.72856,2013-01-01
1,2013,"ANTIOQUIA","Limones otros",0.15777,0.32718,-0.16941,2013-01-01
1,2013,"ANTIOQUIA","Limón Tahití",0.06445,0.369184,-0.304734,2013-01-01
1,2013,"ANTIOQUIA","Papa capira",3.19039,7.00169,-3.8113,2013-01-01
1,2013,"ANTIOQUIA","Papa criolla",0.924763,1.017573,-0.0928100000000001,2013-01-01
1,2013,"ANTIOQUIA","Papa nevada",0.448545,0.326805,0.12174,2013-01-01
1,2013,"ANTIOQUIA","Papa parda pastusa",0.00105,0.00105,0,2013-01-01
1,2013,"ANTIOQUIA","Papas negras otras",0.024,0.024,0,2013-01-01
1,2013,"ANTIOQUIA","Plátano guineo",0.147844,0.411846,-0.264002,2013-01-01
1,2013,"ANTIOQUIA","Plátano hartón verde",1.218094,5.051813,-3.833719,2013-01-01
1,2013,"ANTIOQUIA","Plátanos otros",0.05421,0.15328,-0.09907,2013-01-01
1,2013,"ANTIOQUIA","Repollo",0.99174,1.22602,-0.23428,2013-01-01
1,2013,"ANTIOQUIA","Tomate Riogrande",0.0127,0.0227,-0.01,2013-01-01
1,2013,"ANTIOQUIA","Tomate chonto",1.476658,2.538598,-1.06194,2013-01-01
1,2013,"ANTIOQUIA","Tomate larga vida",0.0042,0.05552,-0.05132,2013-01-01
1,2013,"ANTIOQUIA","Yuca",1.326425,1.395345,-0.0689200000000001,2013-01-01
1,2013,"ANTIOQUIA","Zanahoria",1.81868,1.91609,-0.09741,2013-01-01
1,2014,"ANTIOQUIA","Arroz",0.046,4.8195,-4.7735,2014-01-01
1,2014,"ANTIOQUIA","Carne de cerdo",0.314291,0.314291,0,2014-01-01
1,2014,"ANTIOQUIA","Carne de res",0.38991,0.38209,0.00781999999999999,2014-01-01
1,2014,"ANTIOQUIA","Cebolla Cabezona",0.00383,2.12161,-2.11778,2014-01-01
1,2014,"ANTIOQUIA","Cebolla junca",0.32604,0.608286,-0.282246,2014-01-01
1,2014,"ANTIOQUIA","Fríjol",0.31553,0.65503,-0.3395,2014-01-01
1,2014,"ANTIOQUIA","Fríjol verde",0.515607,0.534607,-0.0189999999999999,2014-01-01
1,2014,"ANTIOQUIA","Huevo",0.14452866,0.33340266,-0.188874,2014-01-01
1,2014,"ANTIOQUIA","Lechuga Batavia",0.80824,1.322195,-0.513955,2014-01-01
1,2014,"ANTIOQUIA","Limones otros",0.135215,0.335425,-0.20021,2014-01-01
1,2014,"ANTIOQUIA","Limón Tahití",0.103875,0.432284,-0.328409,2014-01-01
1,2014,"ANTIOQUIA","Papa capira",2.67517,6.852505,-4.177335,2014-01-01
1,2014,"ANTIOQUIA","Papa criolla",1.113872,1.159472,-0.0456000000000001,2014-01-01
1,2014,"ANTIOQUIA","Papa nevada",0.471515,0.408715,0.0628,2014-01-01
1,2014,"ANTIOQUIA","Papa suprema",0.01,0,0.01,2014-01-01
1,2014,"ANTIOQUIA","Plátano guineo",0.270105,0.65301,-0.382905,2014-01-01
1,2014,"ANTIOQUIA","Plátano hartón verde",1.12093,4.54628,-3.42535,2014-01-01
1,2014,"ANTIOQUIA","Plátanos otros",0.1343,0.26655,-0.13225,2014-01-01
1,2014,"ANTIOQUIA","Repollo",1.15651,1.333335,-0.176825,2014-01-01
1,2014,"ANTIOQUIA","Tomate Riogrande",0.018,0,0.018,2014-01-01
1,2014,"ANTIOQUIA","Tomate chonto",1.746144,2.503602,-0.757458,2014-01-01
1,2014,"ANTIOQUIA","Tomates otros",0.0003,0.1733,-0.173,2014-01-01
1,2014,"ANTIOQUIA","Yuca",1.118509,1.233881,-0.115372,2014-01-01
1,2014,"ANTIOQUIA","Zanahoria",2.3486885,2.4532135,-0.104525,2014-01-01
1,2015,"ANTIOQUIA","Arroz",0.06058,4.14758,-4.087,2015-01-01
1,2015,"ANTIOQUIA","Carne de cerdo",0.446088,0.421088,0.025,2015-01-01
1,2015,"ANTIOQUIA","Carne de res",0.59207,0.58007,0.012,2015-01-01
1,2015,"ANTIOQUIA","Cebolla Cabezona",0.00126,2.13816,-2.1369,2015-01-01
1,2015,"ANTIOQUIA","Cebolla junca",0.28771,0.531183,-0.243473,2015-01-01
1,2015,"ANTIOQUIA","Cilantro",0.23265,0.23534,-0.00269,2015-01-01
1,2015,"ANTIOQUIA","Fríjol",0.21079,0.46579,-0.255,2015-01-01
1,2015,"ANTIOQUIA","Fríjol verde",0.6307,0.7228,-0.0921,2015-01-01
1,2015,"ANTIOQUIA","Huevo",0.3231375,0.4531215,-0.129984,2015-01-01
