mes_y_ano,IHH,year,month
2013-01-01,0.11634600351995711,2013,ene
2013-02-01,0.10283569361106919,2013,feb
2013-03-01,0.0997879809607107,2013,mar
2013-04-01,0.10763686982354148,2013,abr
2013-05-01,0.09690114049956779,2013,may
2013-06-01,0.0939319240177455,2013,jun
2013-07-01,0.10341310264054736,2013,jul
2013-08-01,0.10232676048636329,2013,ago
2013-09-01,0.10192077470408326,2013,sept
2013-10-01,0.10177000260168245,2013,oct
2013-11-01,0.1016296393485065,2013,nov
2013-12-01,0.09768849163771036,2013,dic
2014-01-01,0.10400401875732217,2014,ene
2014-02-01,0.1044763464145937,2014,feb
2014-03-01,0.10471274851996702,2014,mar
2014-04-01,0.10200689967462631,2014,abr
2014-05-01,0.10575736927502163,2014,may
2014-06-01,0.10940872522583794,2014,jun
2014-07-01,0.108023416901268,2014,jul
2014-08-01,0.10904164900443133,2014,ago
2014-09-01,0.11754656120549864,2014,sept
2014-10-01,0.11780735560137426,2014,oct
2014-11-01,0.1140246583731838,2014,nov
2014-12-01,0.11060960042950475,2014,dic
2015-01-01,0.10806559360282776,2015,ene
2015-02-01,0.11274660430901878,2015,feb
2015-03-01,0.10229414947305707,2015,mar
2015-04-01,0.10543846056984844,2015,abr
2015-05-01,0.11096620453086217,2015,may
2015-06-01,0.10760055882707013,2015,jun
2015-07-01,0.10325325492415043,2015,jul
2015-08-01,0.11158267949892715,2015,ago
2015-09-01,0.11292925061562135,2015,sept
2015-10-01,0.11521499455289667,2015,oct
2015-11-01,0.1135745419389457,2015,nov
2015-12-01,0.11247974291262784,2015,dic
2016-01-01,0.11597407392758323,2016,ene
2016-02-01,0.1252474944880788,2016,feb
2016-03-01,0.11138743448673696,2016,mar
2016-04-01,0.11059390377917748,2016,abr
2016-05-01,0.13103746661206106,2016,may
2016-06-01,0.13648501022538825,2016,jun
2016-07-01,0.11979103387086423,2016,jul
2016-08-01,0.12754565034171333,2016,ago
2016-09-01,0.13068139119508282,2016,sept
2016-10-01,0.13451958646476356,2016,oct
2016-11-01,0.1211655828704911,2016,nov
2016-12-01,0.11278489751884507,2016,dic
2017-01-01,0.135412225438732,2017,ene
2017-02-01,0.15180692720843533,2017,feb
2017-03-01,0.1132420208563348,2017,mar
2017-04-01,0.11529693072586428,2017,abr
2017-05-01,0.11931398519631606,2017,may
2017-06-01,0.11726513750951681,2017,jun
2017-07-01,0.1290588786103789,2017,jul
2017-08-01,0.12429090409179208,2017,ago
2017-09-01,0.11632679253258187,2017,sept
2017-10-01,0.12776895551317494,2017,oct
2017-11-01,0.1145988767494111,2017,nov
2017-12-01,0.12420006869176851,2017,dic
2018-01-01,0.11595175680097955,2018,ene
2018-02-01,0.10513206470039797,2018,feb
2018-03-01,0.0986101536364102,2018,mar
2018-04-01,0.11225025360726694,2018,abr
2018-05-01,0.1162509941870845,2018,may
2018-06-01,0.11531476050918284,2018,jun
2018-07-01,0.10412376595731178,2018,jul
2018-08-01,0.10765303203004656,2018,ago
2018-09-01,0.11943270469567911,2018,sept
2018-10-01,0.11511978753965674,2018,oct
2018-11-01,0.10794491129594785,2018,nov
2018-12-01,0.10641094948415507,2018,dic
2019-01-01,0.10973389702352725,2019,ene
2019-02-01,0.10119910778564215,2019,feb
2019-03-01,0.09564645231778843,2019,mar
2019-04-01,0.1082417555666523,2019,abr
2019-05-01,0.10019802835331582,2019,may
2019-06-01,0.10322470586333998,2019,jun
2019-07-01,0.10227501677280956,2019,jul
2019-08-01,0.10065819085533342,2019,ago
2019-09-01,0.11640778522031626,2019,sept
2019-10-01,0.09840301227283214,2019,oct
2019-11-01,0.09806037228085807,2019,nov
2019-12-01,0.09477631065724437,2019,dic
2021-01-01,0.11096088159694346,2021,ene
2021-02-01,0.10221604822419957,2021,feb
2021-03-01,0.0919572030381844,2021,mar
2021-04-01,0.09944078777742378,2021,abr
2021-05-01,0.10096601538372847,2021,may
2021-06-01,0.09698325832411972,2021,jun
2021-07-01,0.09351541626215806,2021,jul
2021-08-01,0.10426753747857101,2021,ago
2021-09-01,0.10347662702556731,2021,sept
2021-10-01,0.1163979331801928,2021,oct
2021-11-01,0.10686516553488479,2021,nov
2021-12-01,0.1046954158803086,2021,dic
2022-01-01,0.10304893635006492,2022,ene
2022-02-01,0.09914266004631928,2022,feb
2022-03-01,0.0915176320389661,2022,mar
2022-04-01,0.09118552924110118,2022,abr
2022-05-01,0.11207009025873091,2022,may
2022-06-01,0.10254096668517668,2022,jun
2022-07-01,0.11338522934863474,2022,jul
2022-08-01,0.10724978969499221,2022,ago
2022-09-01,0.10449100962370166,2022,sept
2022-10-01,0.10789631495499175,2022,oct
2022-11-01,0.10924811849584497,2022,nov
2022-12-01,0.10959644848174052,2022,dic
2023-01-01,0.1150933621875393,2023,ene
2023-02-01,0.12123018432389192,2023,feb
2023-03-01,0.11143635210435722,2023,mar
2023-04-01,0.10917301056685134,2023,abr
2023-05-01,0.11216233516151493,2023,may
2023-06-01,0.11731272407660173,2023,jun
2023-07-01,0.11500514447733914,2023,jul
2023-08-01,0.11947198018874648,2023,ago
2023-09-01,0.1168219544971469,2023,sept
2023-10-01,0.11088592316909181,2023,oct
2023-11-01,0.1115399163894267,2023,nov
2023-12-01,0.1152365714836402,2023,dic
